"price" "beds" "living" "baths" "sqmt" "epc" "tax" "date" "link" "house" "lat" "lon" "rooms" "commute_time" "commute_time_minutes" "expect" "low" "upp" "diffn" "diff" "over" "low1" "upp1" "low2" "upp2"
595 1 1 1 34 "c" "a" 2024-07-20 "https://www.aspc.co.uk/search/property/426640/50-Claremont-Street/Aberdeen/" "50 Claremont Street" 57.1386724496023 -2.1212623294478 2 3649 60.8166666666667 573.889927358493 431 643 58 "58" "Fairly priced" 408.512461114703 781.487538885297 222.024922229407 967.975077770593
750 3 1 1 84 "d" "c" 2024-08-05 "https://www.aspc.co.uk/search/property/426649/4-Crown-Terrace/Aberdeen/" "4 Crown Terrace" 57.1441684543109 -2.10160931779121 4 2773 46.2166666666667 946.251879875906 801 1014 -157 "-157" "Underpriced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
1650 4 2 2 135 "b" "f" 2024-08-05 "https://www.aspc.co.uk/search/property/426657/3-Clark-Avenue/Banchory/" "3 Clark Avenue" 57.0612516407338 -2.48029431779121 6 24382 406.366666666667 1554.16277834195 1478 1827 -3 "-3" "Fairly priced" 1463.5124611147 1836.4875388853 1277.02492222941 2022.97507777059
1500 4 2 2 153 "c" "f" 2024-08-05 "https://www.aspc.co.uk/search/property/426658/7-Schoolhill-Place/Aberdeen/" "7 Schoolhill Place" 57.0724228177511 -2.127358 6 10816 180.266666666667 1524.22068441092 1356 1621 11 "11" "Fairly priced" 1313.5124611147 1686.4875388853 1127.02492222941 1872.97507777059
1100 4 1 2 133 "e" "e" 2024-08-05 "https://www.aspc.co.uk/search/property/426663/21-High-Street/Banchory/" "21 High Street" 57.0518817235516 -2.50999030613462 5 25746 429.1 1234.48511569445 1172 1473 -222 "-222" "Underpriced" 913.512461114703 1286.4875388853 727.024922229407 1472.97507777059
525 1 1 1 46 "e" "b" 2024-08-05 "https://www.aspc.co.uk/search/property/426664/123-Fairview-Circle/Aberdeen/" "123 Fairview Circle" 57.1830777255759 -2.14511501165659 2 2701 45.0166666666667 593.117668158611 433 708 -46 "-46" "Fairly priced" 338.512461114703 711.487538885297 152.024922229407 897.975077770593
750 2 1 2 80 "c" "c" 2024-08-05 "https://www.aspc.co.uk/search/property/426673/Butlers-Cottage/Insch/" "Butlers Cottage" 57.3297419416559 -2.54423096503022 3 29822 497.033333333333 702.007235586622 699 882 -40 "-40" "Fairly priced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
1500 4 4 2 283 "d" "c" 2024-08-05 "https://www.aspc.co.uk/search/property/426674/Lower-Whitehills--Lochside/Montrose/" "Lower Whitehills, Lochside" 56.7747473050367 -2.43214937607416 8 44499 741.65 1614.56262789976 1339 1889 -114 "-114" "Fairly priced" 1313.5124611147 1686.4875388853 1127.02492222941 1872.97507777059
450 1 1 1 33 "d" "a" 2024-08-05 "https://www.aspc.co.uk/search/property/426690/Top-Floor-Right--79-Menzies-Road/Aberdeen/" "Top Floor Right, 79 Menzies Road" 57.1356134515399 -2.09267135276098 2 3649 60.8166666666667 499.349108448048 366 568 -17 "-17" "Fairly priced" 263.512461114703 636.487538885297 77.0249222294069 822.975077770593
1050 3 1 2 94 "e" "b" 2024-08-05 "https://www.aspc.co.uk/search/property/426697/4-School-Cottage/Stonehaven/" "4 School Cottage" 56.9056902562368 -2.26930199999999 4 28768 479.466666666667 966.277544123255 802 1071 114 "114" "Fairly priced" 863.512461114703 1236.4875388853 677.024922229407 1422.97507777059
